TimeStamp,ChainlinkAggregate,Chainlayer,Wetez,ztake,Mycelium Node,Inotel,Sync Node,Omniscience,Alpha Chain,SNZPool,Simply VC,LinkPool,01Node,DexTrac,Prophet,Staked,PlusSign,Anyblock,LinkForest,Fiews,Framework Ventures,Staking Facilities,Blocksize Capital,T-Systems,Easy 2 stake,Kytzu,Figment Networks,Newroad Network,stake.fish,Validation Capital,P2P.org,Infinity Stones,Coincap,BraveNewCoin,CryptoCompare,AlphaVantage,CoinGecko,CoinPaprika,CoinMarketCap,,,,,
1650213020,3074.99,3074.54,3073.16,3073.22,3073.59,3074.00,3074.84,3074.91,3074.94,3074.96,3074.96,3074.99,3077.69,3074.12,3074.12,3074.37,3074.99,3074.99,3075.01,3075.13,3075.40,3076.27,3078.07,3078.07,3079.76,3080.87,3076.48,3076.76,3076.83,3077.56,3077.61,3077.61,3079.73,3083.85,3074.39,3073.50,3077.73,3074.72,3077.32,,,,,
1650213920,3074.99,3074.54,3073.16,3073.22,3073.59,3074.00,3074.84,3074.91,3074.94,3074.96,3074.96,3074.99,3077.69,3074.12,3074.12,3074.37,3074.99,3074.99,3075.01,3075.13,3075.40,3076.27,3078.07,3078.07,3079.76,3080.87,3076.48,3076.76,3076.83,3077.56,3077.61,3077.61,3074.00,3078.14,3068.91,3068.04,3075.51,3068.86,3072.24,,,,,
1650214821,3074.99,3068.89,3067.58,3067.68,3067.94,3068.04,3068.05,3066.90,3066.90,3067.39,3068.06,3068.13,3068.85,3067.71,3067.88,3068.24,3068.32,3068.32,3068.69,3068.69,3068.35,3068.43,3068.47,3068.65,3068.69,3068.69,3068.69,3069.07,3074.25,3068.83,3068.83,3068.83,3065.32,3075.62,3058.58,3058.69,3073.92,3063.02,3065.86,,,,,
1650215718,3068.35,3068.89,3067.58,3067.68,3067.94,3068.04,3068.05,3066.90,3066.90,3067.39,3068.06,3068.13,3068.85,3067.71,3067.88,3068.24,3068.32,3068.32,3068.69,3068.69,3068.35,3068.43,3068.47,3068.65,3068.69,3068.69,3068.69,3069.07,3074.25,3068.83,3068.83,3068.83,3062.20,3064.14,3059.88,3059.39,3057.35,3066.98,3056.60,,,,,
1650216625,3068.35,3068.89,3067.58,3067.68,3067.94,3068.04,3068.05,3066.90,3066.90,3067.39,3068.06,3068.13,3068.85,3067.71,3067.88,3068.24,3068.32,3068.32,3068.69,3068.69,3068.35,3068.43,3068.47,3068.65,3068.69,3068.69,3068.69,3069.07,3074.25,3068.83,3068.83,3068.83,3059.64,3065.59,3057.21,3055.02,3057.81,3068.00,3056.38,,,,,
1650217651,3068.35,3068.89,3067.58,3067.68,3067.94,3068.04,3068.05,3066.90,3066.90,3067.39,3068.06,3068.13,3068.85,3067.71,3067.88,3068.24,3068.32,3068.32,3068.69,3068.69,3068.35,3068.43,3068.47,3068.65,3068.69,3068.69,3068.69,3069.07,3074.25,3068.83,3068.83,3068.83,3062.59,3068.87,3056.41,3056.41,3059.10,3072.40,3059.65,,,,,
1650218425,3056.73,3056.73,3055.77,3055.81,3056.42,3056.42,3056.42,3056.42,3056.65,3056.73,3056.73,3056.73,3056.73,3056.74,3056.74,3056.87,3056.88,3057.15,3057.16,3057.20,3056.46,3056.54,3056.55,3056.55,3057.26,3057.33,3057.38,3057.49,3057.83,3057.83,3057.91,3061.59,3055.31,3064.98,3049.68,3050.36,3070.03,3052.82,3057.20,,,,,
1650219320,3039.25,3033.20,3032.92,3032.97,3037.38,3035.74,3035.89,3036.36,3037.14,3037.89,3037.89,3042.11,3047.54,3047.54,3047.54,3049.34,3049.34,3049.34,3050.70,3050.70,3054.32,3055.25,3056.56,3053.41,3029.67,3030.74,3031.79,3037.06,3038.28,3039.25,3041.37,3041.81,3042.79,3040.41,3027.33,3027.53,3030.02,3053.02,3033.74,,,,,
1650220218,3039.25,3033.20,3032.92,3032.97,3037.38,3035.74,3035.89,3036.36,3037.14,3037.89,3037.89,3042.11,3047.54,3047.54,3047.54,3049.34,3049.34,3049.34,3050.70,3050.70,3054.32,3055.25,3056.56,3053.41,3029.67,3030.74,3031.79,3037.06,3038.28,3039.25,3041.37,3041.81,3038.40,3042.45,3032.05,3030.18,3032.75,3035.16,3033.64,,,,,
1650221123,3039.25,3033.20,3032.92,3032.97,3037.38,3035.74,3035.89,3036.36,3037.14,3037.89,3037.89,3042.11,3047.54,3047.54,3047.54,3049.34,3049.34,3049.34,3050.70,3050.70,3054.32,3055.25,3056.56,3053.41,3029.67,3030.74,3031.79,3037.06,3038.28,3039.25,3041.37,3041.81,3038.29,3042.43,3033.41,3032.33,3033.82,3033.60,3034.26,,,,,
